"Date","Sales"
"2009-01-01",35
"2009-01-02",32
"2009-01-03",30
"2009-01-04",31
"2009-01-05",44
"2009-01-06",29
"2009-01-07",45
"2009-01-08",43
"2009-01-09",38
"2009-01-10",27
"2009-01-11",38
"2009-01-12",33
"2009-01-13",55
"2009-01-14",47
"2009-01-15",45
"2009-01-16",37
"2009-01-17",50
"2009-01-18",43
"2009-01-19",41
"2009-01-20",52
"2009-01-21",34
"2009-01-22",53
"2009-01-23",39
"2009-01-24",32
"2009-01-25",37
"2009-01-26",43
"2009-01-27",39
"2009-01-28",35
"2009-01-29",44
"2009-01-30",38
"2009-01-31",24
"2009-02-01",23
"2009-02-02",31
"2009-02-03",44
"2009-02-04",38
"2009-02-05",50
"2009-02-06",38
"2009-02-07",51
"2009-02-08",31
"2009-02-09",31
"2009-02-10",51
"2009-02-11",36
"2009-02-12",45
"2009-02-13",51
"2009-02-14",34
"2009-02-15",52
"2009-02-16",47
"2009-02-17",45
"2009-02-18",46
"2009-02-19",39
"2009-02-20",48
"2009-02-21",37
"2009-02-22",35
"2009-02-23",52
"2009-02-24",42
"2009-02-25",45
"2009-02-26",39
"2009-02-27",37
"2009-02-28",30
"2009-03-01",35
"2009-03-02",28
"2009-03-03",45
"2009-03-04",34
"2009-03-05",36
"2009-03-06",50
"2009-03-07",44
"2009-03-08",39
"2009-03-09",32
"2009-03-10",39
"2009-03-11",45
"2009-03-12",43
"2009-03-13",39
"2009-03-14",31
"2009-03-15",27
"2009-03-16",30
"2009-03-17",42
"2009-03-18",46
"2009-03-19",41
"2009-03-20",36
"2009-03-21",45
"2009-03-22",46
"2009-03-23",43
"2009-03-24",38
"2009-03-25",34
"2009-03-26",35
"2009-03-27",56
"2009-03-28",36
"2009-03-29",32
"2009-03-30",50
"2009-03-31",41
"2009-04-01",39
"2009-04-02",41
"2009-04-03",47
"2009-04-04",34
"2009-04-05",36
"2009-04-06",33
"2009-04-07",35
"2009-04-08",38
"2009-04-09",38
"2009-04-10",34
"2009-04-11",53
"2009-04-12",34
"2009-04-13",34
"2009-04-14",38
"2009-04-15",35
"2009-04-16",32
"2009-04-17",42
"2009-04-18",34
"2009-04-19",46
"2009-04-20",30
"2009-04-21",46
"2009-04-22",45
"2009-04-23",54
